torch_op,dependency
addbmm,oneDNN
addbmm_,oneDNN
addbmm.out,oneDNN
_addmm_activation.out,oneDNN
addmm.out,oneDNN
addmv.out,oneDNN
baddbmm,oneDNN
baddbmm_,oneDNN
baddbmm.out,oneDNN
bmm,oneDNN
bmm.out,oneDNN
cholesky_inverse,MKL
cholesky_inverse.out,MKL
cholesky,MKL
cholesky.out,MKL
_cholesky_solve_helper,MKL
_conv_depthwise2d,oneDNN
_conv_depthwise2d.out,oneDNN
conv_depthwise3d,oneDNN
convolution_backward,oneDNN
conv_tbc,oneDNN
_cslt_compress,cuSPARSE
_cslt_sparse_mm,cuSPARSE
_cslt_sparse_mm_search,cuSPARSE
dot,MKL
_fft_c2c,MKL
_fft_c2c.out,MKL
_fft_c2r,MKL
_fft_c2r.out,MKL
_fft_r2c,MKL
_fft_r2c.out,MKL
geqrf.a,MKL
geqrf,MKL
_int_mm,oneDNN
_int_mm.out,oneDNN
inverse,MKL
inverse.out,MKL
linalg_cholesky_ex.L,MKL
linalg_cholesky_ex,MKL
_linalg_det,MKL
_linalg_det.result,MKL
_linalg_eigh.eigenvalues,MKL
linalg_eigh.eigvals,MKL
_linalg_eigh,MKL
linalg_eigh,MKL
linalg_eig,MKL
linalg_eig.out,MKL
linalg_eigvalsh,MKL
linalg_eigvalsh.out,MKL
_linalg_eigvals,MKL
linalg_eigvals.out,MKL
linalg_householder_product,MKL
linalg_householder_product.out,MKL
linalg_inv_ex.inverse,MKL
linalg_inv_ex,MKL
linalg_ldl_factor_ex,MKL
linalg_ldl_factor_ex.out,MKL
linalg_ldl_solve,MKL
linalg_ldl_solve.out,MKL
linalg_lstsq.out,MKL
linalg_lu_factor_ex,MKL
linalg_lu_factor_ex.out,MKL
linalg_lu,MKL
linalg_lu.out,MKL
linalg_lu_solve,MKL
linalg_lu_solve.out,MKL
linalg_matrix_exp,MKL
linalg_qr,MKL
linalg_qr.out,MKL
_linalg_slogdet,MKL
_linalg_slogdet.sign,MKL
_linalg_solve_ex,MKL
_linalg_solve_ex.result,MKL
linalg_solve_triangular,MKL
linalg_solve_triangular.out,MKL
_linalg_svd,MKL
_linalg_svd.U,MKL
lu_solve,MKL
lu_solve.out,MKL
lu_unpack,MKL
lu_unpack.out,MKL
_lu_with_info,MKL
matrix_exp,MKL
miopen_batch_norm_backward,ROCm
miopen_batch_norm,ROCm
miopen_convolution_add_relu,ROCm
miopen_convolution_relu,ROCm
miopen_convolution,ROCm
miopen_convolution_transpose,ROCm
miopen_depthwise_convolution,ROCm
miopen_rnn_backward,ROCm
miopen_rnn,ROCm
mm,oneDNN
mm.out,oneDNN
ormqr,MKL
ormqr.out,MKL
_scaled_mm,oneDNN
_scaled_mm.out,oneDNN
_slow_conv2d_backward.grad_input,oneDNN
_slow_conv2d_backward.output_mask,oneDNN
_slow_conv2d_forward,oneDNN
_slow_conv2d_forward.output,oneDNN
slow_conv_dilated2d,oneDNN
slow_conv_dilated3d,oneDNN
slow_conv_transpose2d,oneDNN
slow_conv_transpose2d.out,oneDNN
slow_conv_transpose3d,oneDNN
slow_conv_transpose3d.out,oneDNN
sparse:addmm,MKL
sparse:addmm_,MKL
sparse:addmm.out,MKL
sparse:bmm,MKL
sparse:bmm.out,MKL
sparse:hspmm,MKL
sparse:hspmm.out,MKL
sparse:mm,MKL
sparse:mm.out,MKL
sparse:_sparse_sparse_matmul,MKL
sparse:sspaddmm.out,MKL
sspaddmm.out,MKL
triangular_solve,MKL
triangular_solve.X,MKL
vdot,MKL
cholesky dependes on torch CPU
cholesky.out dependes on torch CPU
cholesky_inverse dependes on torch CPU
cholesky_inverse.out dependes on torch CPU
_cholesky_solve_helper dependes on torch CPU
dot dependes on torch CPU
_efficient_attention_forward dependes on torch CPU
_flash_attention_forward dependes on torch CPU
geqrf dependes on torch CPU
geqrf.a dependes on torch CPU
hash_tensor.out dependes on torch CPU
linalg_cholesky_ex.L dependes on torch CPU
linalg_eig dependes on torch CPU
linalg_eig.out dependes on torch CPU
_linalg_eigvals dependes on torch CPU
linalg_eigvals.out dependes on torch CPU
_linalg_eigh.eigenvalues dependes on torch CPU
linalg_householder_product dependes on torch CPU
linalg_householder_product.out dependes on torch CPU
linalg_ldl_factor_ex.out dependes on torch CPU
linalg_ldl_solve.out dependes on torch CPU
linalg_lstsq.out dependes on torch CPU
linalg_lu.out dependes on torch CPU
linalg_matrix_exp dependes on torch CPU
linalg_qr.out dependes on torch CPU
linalg_solve_triangular dependes on torch CPU
linalg_solve_triangular.out dependes on torch CPU
_linalg_svd.U dependes on torch CPU
lu_unpack.out dependes on torch CPU
ormqr dependes on torch CPU
ormqr.out dependes on torch CPU
triangular_solve.X dependes on torch CPU
_validate_compressed_sparse_indices dependes on torch CPU
vdot dependes on torch CPU
